City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Lubango,AO,2020-07-02 21:02:27,-14.92,13.49,56.68,38,0,5.53
117,Strezhevoy,RU,2020-07-02 21:02:27,60.73,77.59,60.8,87,90,6.71
118,Vanimo,PG,2020-07-02 21:02:27,-2.67,141.3,77.25,82,38,7.0
119,Grindavik,IS,2020-07-02 21:02:28,63.84,-22.43,53.6,71,20,12.75
120,Nargana,PA,2020-07-02 21:02:28,9.44,-78.59,83.01,80,88,11.41
121,Fallon,US,2020-07-02 20:58:40,39.47,-118.78,84.0,11,20,5.82
122,Tiksi,RU,2020-07-02 21:02:29,71.69,128.87,36.32,85,1,13.06
123,Austintown,US,2020-07-02 20:59:51,41.1,-80.76,88.0,40,20,10.29
124,Mount Gambier,AU,2020-07-02 21:01:32,-37.83,140.77,46.4,93,75,10.29
125,Asosa,ET,2020-07-02 21:02:30,10.07,34.53,61.5,99,93,4.29
126,Massakory,TD,2020-07-02 21:02:30,13.0,15.73,91.47,30,0,4.18
127,Port Lincoln,AU,2020-07-02 21:02:30,-34.73,135.87,54.7,79,10,16.98
128,Nome,US,2020-07-02 21:02:31,64.5,-165.41,50.0,93,90,16.11
129,Barbastro,ES,2020-07-02 21:02:31,42.04,0.13,75.2,53,17,13.87
130,Mazagao,BR,2020-07-02 21:00:59,-0.12,-51.29,86.0,79,40,5.82
131,Kaitangata,NZ,2020-07-02 21:02:32,-46.28,169.85,39.0,85,4,3.51
132,Namatanai,PG,2020-07-02 21:02:32,-3.67,152.43,79.39,81,75,7.52
133,Kuusamo,FI,2020-07-02 21:02:32,65.97,29.18,48.2,70,0,2.24
134,Mar Del Plata,AR,2020-07-02 21:02:15,-38.0,-57.56,50.0,81,90,3.36
135,Mahebourg,MU,2020-07-02 21:02:33,-20.41,57.7,69.8,83,75,8.05
136,Umm Lajj,SA,2020-07-02 21:02:33,25.02,37.27,79.99,64,0,3.09
137,Abu Samrah,SY,2020-07-02 21:02:34,35.3,37.18,81.81,42,0,5.41
138,Sao Filipe,CV,2020-07-02 21:02:34,14.9,-24.5,75.15,82,99,7.65
139,Foumbot,CM,2020-07-02 21:02:34,5.51,10.64,65.7,91,89,2.21
140,Bethel,US,2020-07-02 21:02:34,41.37,-73.41,91.0,48,1,8.05
141,Chabahar,IR,2020-07-02 21:02:35,25.29,60.64,87.08,77,0,2.93
142,Luderitz,NA,2020-07-02 21:02:35,-26.65,15.16,55.4,87,0,4.7
143,Lorengau,PG,2020-07-02 21:02:35,-2.02,147.27,81.88,76,0,8.7
144,Cherskiy,RU,2020-07-02 21:02:36,68.75,161.3,41.68,88,100,5.48
145,Yenagoa,NG,2020-07-02 21:02:36,4.92,6.26,75.4,94,100,4.41
146,Kodiak,US,2020-07-02 21:02:36,57.79,-152.41,60.8,67,1,5.82
147,Alta Floresta,BR,2020-07-02 21:02:37,-9.88,-56.09,89.6,49,20,2.24
148,Westerland,DE,2020-07-02 21:02:37,54.91,8.3,59.0,67,88,8.05
149,Ormara,PK,2020-07-02 21:02:38,25.21,64.64,86.31,77,29,5.41
150,Usinsk,RU,2020-07-02 21:02:38,65.99,57.53,56.53,68,100,8.77
151,Lompoc,US,2020-07-02 21:00:47,34.64,-120.46,68.0,68,25,13.87
152,Caravelas,BR,2020-07-02 21:02:39,-17.71,-39.25,73.11,85,18,4.43
153,Ibra,OM,2020-07-02 21:02:39,22.69,58.53,81.91,69,0,5.23
154,Banda Aceh,ID,2020-07-02 21:02:39,5.56,95.32,79.29,82,44,9.1
155,San Cristobal,VE,2020-07-02 21:02:40,7.77,-72.22,78.8,74,75,19.46
156,Klaksvik,FO,2020-07-02 21:02:40,62.23,-6.59,44.6,81,100,8.05
157,Dingli,MT,2020-07-02 21:02:41,35.86,14.38,75.2,83,20,12.75
158,Airai,TL,2020-07-02 21:02:41,-8.93,125.41,53.38,97,35,3.87
159,Lagoa,PT,2020-07-02 21:02:41,39.05,-27.98,67.33,76,0,7.94
160,Chara,RU,2020-07-02 21:02:41,56.91,118.26,67.62,59,54,1.39
161,Morondava,MG,2020-07-02 21:02:42,-20.28,44.28,71.35,71,0,9.42
162,Jamestown,US,2020-07-02 21:00:49,42.1,-79.24,84.0,48,1,10.29
163,Olinda,BR,2020-07-02 21:02:43,-8.01,-34.86,80.6,74,20,6.93
164,Saskylakh,RU,2020-07-02 21:02:43,71.92,114.08,49.44,74,98,10.96
165,Buala,SB,2020-07-02 21:02:43,-8.14,159.59,79.81,81,97,7.34
166,Ballina,AU,2020-07-02 21:02:43,-28.87,153.57,55.99,100,75,6.91
167,Brezno,SK,2020-07-02 21:02:44,48.8,19.64,62.01,73,41,1.01
