City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
258,loukhi,RU,59.76,66.08,33.04,Хостел Северяночка
259,sidmouth,GB,62.01,50.69,-3.24,The Belmont Hotel
260,flinders,AU,62.01,-34.58,150.86,Shellharbour Resort & Conference Centre
261,biltine,TD,85.48,14.53,20.92,Hôtel Trois Étoiles de Biltine
262,kupang,ID,89.6,-10.17,123.58,Sylvia Hotel Premier Kupang
264,misratah,LY,77.68,32.38,15.09,فندق الماسة
265,inta,RU,69.8,66.03,60.17,Apartments in Inta city
266,faya,SA,77.0,18.39,42.45,مقبرة ال مجمل
267,catamarca,AR,51.01,-28.47,-65.79,Amerian Catamarca Park Hotel
268,poum,NC,70.77,-20.23,164.02,Gîte kajeon
270,katsuura,JP,82.4,35.13,140.3,Katsuura Hilltop Hotel & Residence
271,yeppoon,AU,73.4,-23.13,150.73,Villa Mar Colina
272,sterling,US,78.8,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
273,broome,US,68.0,42.25,-75.83,Chenango Valley State Park
274,llangefni,GB,57.2,53.26,-4.31,Bull Hotel
275,alakurtti,RU,55.0,66.97,30.35,Agroturystyka Gientosław
276,blind river,CA,71.6,46.18,-82.96,Auberge Eldo Inn
277,souillac,MU,69.8,-20.52,57.52,Bils' Villa
278,redlands,US,79.0,34.06,-117.18,Dynasty Suites Redlands
279,fernandez,AR,52.54,-27.92,-63.89,Cordoba Hunting
281,port macquarie,AU,57.99,-31.43,152.92,Rydges Port Macquarie
283,kerema,PG,79.21,-7.96,145.78,Elore Lodge
284,luganville,VU,78.8,-15.53,167.17,The Espiritu Hotel
285,tateyama,JP,77.0,34.98,139.87,Tateyama Seaside Hotel
286,mount gambier,AU,53.6,-37.83,140.77,Southgate Motel
287,sayyan,YE,74.19,15.17,44.32,الاستاذة مروى اليوسفي
289,roma,US,63.0,43.21,-75.46,Wingate By Wyndham Rome
291,the valley,AI,82.4,18.22,-63.06,CeBlue Villas & Beach Resort
292,penzance,GB,60.01,50.12,-5.54,Ship Inn
293,tongzi,CN,83.39,28.78,105.09,
294,bandarbeyla,SO,85.66,9.49,50.81,REER XOOSHLE GROUP
295,beloha,MG,68.56,-25.17,45.05,
298,kawambwa,ZM,58.86,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
300,acarau,BR,76.26,-2.89,-40.12,castelo pizzaria
301,huoqiu,CN,82.89,32.34,116.27,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
302,los llanos de aridane,ES,69.8,28.66,-17.92,Valle Aridane
304,yeniseysk,RU,89.11,58.45,92.17,"""Domino"""
305,bardiyah,LY,77.07,31.76,25.09,بورتو بردية
306,asuncion nochixtlan,MX,56.44,17.47,-97.23,Hotel Kristal
307,yulara,AU,62.6,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
308,siimusti,EE,63.0,58.73,26.34,Madise Guesthouse
309,lekoni,GA,71.82,-1.58,14.26,Rendez-vous Des ChasseursD
310,hebi,CN,86.0,35.9,114.19,Wangfu Hotel
311,esperance,AU,62.6,-33.87,121.9,Hospitality Esperance
312,tigil,RU,59.67,57.8,158.67,Tigil'
313,chapais,CA,57.2,49.78,-74.85,Hôtel Opémiska
315,coaldale,CA,60.8,49.72,-112.62,Station Grounds: A Manufactured Housing Community
317,ciudad bolivar,VE,76.62,8.12,-63.55,Hotel Edi
318,nuevo progreso,MX,77.0,23.17,-97.95,Balneario Rio el Paraiso
319,aljezur,PT,64.99,37.32,-8.8,Amazigh Hostel
321,carupano,VE,76.93,10.67,-63.26,Hotel La dorada
322,aykhal,RU,51.8,66.0,111.5,
323,san andres,CO,82.4,12.58,-81.7,Hotel Arena Blanca
324,noumea,NC,77.0,-22.28,166.46,Hôtel Le Lagon
326,odessa,UA,84.2,46.48,30.73,Londonskaya Hotel
327,mahibadhoo,MV,83.95,3.78,72.97,Omadhoo Inn
328,tucurui,BR,73.74,-3.77,-49.67,BBB Rooms Centro Tucurui PA
329,abha,SA,77.0,18.22,42.51,Abha Hotel
332,youhao,CN,83.8,47.87,128.83,Changcheng Hotel
334,strzegom,PL,64.0,50.96,16.35,Strzegom Apartments
335,lompoc,US,57.2,34.64,-120.46,Holiday Inn Express Lompoc
336,kaniama,CD,67.1,-7.57,24.18,
337,bilibino,RU,56.21,68.05,166.44,Gostinitsa Severyanka
339,tulagi,SB,89.6,-9.1,160.15,Raiders Hotel & Dive
340,herouville-saint-clair,FR,60.8,49.21,-0.31,Novotel Caen Côte de Nacre
341,dosso,NE,82.62,13.05,3.19,Hotel Toubal
345,tete,MZ,55.4,-16.16,33.59,Zambeze Paraíso Misterioso
346,fort-shevchenko,KZ,87.03,44.51,50.26,Oasis hotel Bautino
348,santa cruz cabralia,BR,69.8,-16.28,-39.02,Baia Cabrália Hotel
350,namanyere,TZ,61.68,-7.52,31.05,Manyovu Lodge
351,eureka,US,57.2,40.8,-124.16,Eureka Inn Trademark By Wyndham
352,tautira,PF,78.8,-17.73,-149.15,Pension Oaoa
353,college,US,69.8,64.86,-147.8,Pike's Waterfront Lodge
356,progreso,MX,77.0,21.28,-89.67,Playa Linda Hotel
357,pangoa,PE,66.38,-12.12,-73.0,
358,mayo,US,80.6,38.89,-76.51,Resorts Resource Group International
360,svetlaya,RU,67.73,46.54,138.33,
361,dondo,MZ,66.2,-19.61,34.74,Arco Iris
362,mount isa,AU,71.6,-20.73,139.5,ibis Styles Mt Isa Verona
364,aksha,RU,82.36,50.28,113.29,
366,chodziez,PL,66.99,52.99,16.92,Straszny Dwór
374,merauke,ID,81.07,-8.47,140.33,
375,nemuro,JP,62.6,43.32,145.57,Hotel Nemuro Kaiyoutei
376,port hawkesbury,CA,54.0,45.62,-61.35,Hearthstone Inn Port Hawkesbury
377,ovalle,CL,53.85,-30.6,-71.2,Hotel Altos de Tuqui
380,yola,NG,77.41,9.2,12.48,Muna Hotel
381,llanes,ES,57.0,43.42,-4.75,Hotel La Paz
382,zambezi,ZM,51.12,-13.54,23.1,Royal Kutachika Lodge
383,leningradskiy,RU,50.13,69.38,178.42,
385,erenhot,CN,82.27,43.65,111.98,Erenhot Rurouni Youth Hostel
386,usinsk,RU,68.99,65.99,57.53,Dobro Pozhalovaty
387,byron bay,AU,66.99,-28.65,153.62,Backpackers Inn on the Beach
388,conselheiro pena,BR,67.91,-19.17,-41.47,Hotel Bela Adormecida
389,belen,TR,78.8,36.49,36.22,Varlıbaş Uyku Sarayı
390,russell,US,75.2,32.35,-85.2,Macs
391,caicedo,CO,59.0,6.41,-75.98,Culi4dero
392,perelyub,RU,81.5,51.87,50.37,
393,conceicao do araguaia,BR,70.29,-8.26,-49.26,Tarumã Tropical Hotel
394,lagoa,PT,67.86,39.05,-27.98,Casa Das Faias
395,guerrero negro,MX,68.29,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
397,tadine,NC,69.49,-21.55,167.88,
398,komsomolskiy,UZ,82.4,40.43,71.72,Ikathouse
400,naifaru,MV,83.53,5.44,73.37,Naifaru Residence Guest House
401,grand-santi,GF,71.56,4.25,-54.38,Hotel La Villa Couacou
402,leo,BF,74.91,11.1,-2.1,Hotel Sissilis
403,mulege,MX,85.68,26.88,-111.98,Casa Granada
404,boende,CD,77.54,-0.22,20.87,
405,anchorage,US,71.6,61.22,-149.9,Hotel Captain Cook
408,isangel,VU,78.8,-19.55,169.27,Volcano Sea View Tree House
410,keningau,MY,87.8,5.34,116.16,Sabindo Hotel
411,hovd,MN,77.23,48.01,91.64,Hotel Khovd
412,aquiraz,BR,78.8,-3.9,-38.39,Pousada Rua Camurupim
413,kismayo,SO,80.51,-0.36,42.55,Agan-Hotel
415,eyl,SO,86.23,7.98,49.82,Amiin Hotel
417,manaure,CO,80.69,11.78,-72.44,Del mar vendra
418,elva,EE,63.0,58.22,26.42,Verevi Motel
420,nivala,FI,57.99,63.92,24.97,Hotelli Huiskankorpi / Aseman majatalo
421,karratha,AU,86.67,-20.74,116.85,ibis Styles Karratha
423,baruun-urt,MN,76.26,46.68,113.28,Ахмадын амралт сувилал
425,yar-sale,RU,70.16,66.83,70.83,Yalemd
427,kalmunai,LK,89.28,7.42,81.82,VS Villa
428,ipora,BR,62.83,-16.44,-51.12,Oásis Motel
429,westport,US,69.8,41.14,-73.36,The Westport Inn
433,goderich,CA,69.01,43.75,-81.72,Harmony Inn
434,brazzaville,CG,71.6,-4.27,15.28,Hotel Murex
436,portel,BR,72.54,-1.94,-50.82,Pousada Avenida
437,avera,US,77.0,33.19,-82.53,
438,yuli,NG,76.06,9.7,10.27,
441,kurilsk,RU,58.6,45.23,147.88,Guest House on Kooperativnaya
442,liverpool,GB,62.6,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
444,alofi,NU,73.4,-19.06,-169.92,Taloa Heights
445,sawtell,AU,62.01,-30.38,153.1,Boambee Waters Caravan Park
446,jalu,LY,81.95,29.03,21.55,Jalu Hotel
447,tiznit,MA,71.49,29.58,-9.5,
448,balikpapan,ID,84.2,-1.27,116.83,Grand Jatra Hotel Balikpapan
449,peniche,PT,60.01,39.36,-9.38,Hotel Star inn Peniche
450,arusha,TZ,61.83,-3.37,36.68,Graceland Hotel
451,virtsu,EE,61.0,58.57,23.51,Viirelaiu Lighthouse Guesthouse
452,almaznyy,RU,84.2,48.04,40.05,
454,orange cove,US,75.2,36.62,-119.31,
455,evensk,RU,57.88,61.95,159.23,
456,marienburg,PL,64.0,54.04,19.03,Hotel Centrum Malbork
457,lajkovac,RS,68.0,44.37,20.17,Kolubara
458,camopi,GF,71.4,3.17,-52.32,
459,novobirilyussy,RU,78.39,56.95,90.67,Gostinitsa
460,kropotkin,RU,77.81,45.44,40.58,Hotel Europe Kropotkin
461,whitehorse,CA,64.4,60.72,-135.05,Westmark Hotel
462,krasnoselkup,RU,79.43,65.7,82.47,Krasnosel'kupnefteprodukt
463,chimore,BO,60.67,-16.98,-65.13,Bichito
465,dudinka,RU,71.6,69.41,86.18,Hotel Viktoria
466,nouadhibou,MR,66.2,20.93,-17.03,El Medina
467,sibut,CF,73.24,5.72,19.07,
468,osakarovka,KZ,68.29,50.56,72.57,Motel' Osakarovka
469,corinto,GR,82.0,37.94,22.96,Ephira Hotel
470,praia,CV,75.2,14.92,-23.51,LT Aparthotel
471,guarapari,BR,70.0,-20.67,-40.5,Hotel Porto do Sol
473,bucerias,MX,82.4,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
475,capitao poco,BR,71.01,-1.75,-47.06,Hotel New Tokyo
477,diamantino,BR,66.34,-14.41,-56.45,Hotel Delta
478,aden,YE,88.88,12.78,45.04,Sama Emirate Hotel
479,vao,NC,69.62,-22.67,167.48,Hotel Kou-Bugny
483,muli,MV,84.25,2.92,73.57,Medhufushi Island Resort
484,tulum,MX,82.0,20.22,-87.47,Kin Ha
485,saint anthony,US,75.99,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
488,antofagasta,CL,59.0,-23.65,-70.4,Hotel Terrado Suites Antofagasta
489,kinel-cherkassy,RU,77.61,53.47,51.47,"Gostinitsa ""Svetlana"""
490,shimoda,JP,77.0,34.67,138.95,Shimoda Tokyu Hotel
492,flin flon,CA,62.46,54.77,-101.86,Victoria Inn Flin Flon
493,oytal,KZ,75.0,42.91,73.27,Sanatorium Ak-Niet
495,senador jose porfirio,BR,72.82,-2.59,-51.95,MORADA DO SOL pousada
496,ketchikan,US,55.4,55.34,-131.65,Snows Cove Lodge
497,pacific grove,US,57.99,36.62,-121.92,Lovers Point Inn
499,magadan,RU,53.38,59.57,150.8,Magadan hotel
500,murgab,TM,80.6,37.5,61.97,
501,thohoyandou,ZA,55.13,-22.95,30.48,Masili Guesthouse & Conference
502,pamplona,ES,53.6,42.82,-1.64,Hotel Albret
504,bose,IT,68.0,45.46,8.01,Locanda Borgo Antico
507,pozo colorado,PY,54.45,-23.49,-58.8,Hospedaje la Amistad
508,mudgee,AU,50.0,-32.59,149.59,Parklands Resort & Conference Centre
509,sidi ali,DZ,72.05,36.1,0.42,
510,elizabethtown,US,71.6,37.69,-85.86,"Motel 6 Elizabethtown, KY"
511,nevelsk,RU,71.6,46.67,141.86,Gostinitsa Viktoriya
512,colares,PT,64.0,38.8,-9.45,Arribas Sintra Hotel
513,taoudenni,ML,89.6,22.68,-3.98,
514,ruteng,ID,73.45,-8.61,120.47,Hotel FX72 Ruteng
515,port moresby,PG,79.36,-9.44,147.18,Lamana Hotel
516,anloga,GH,77.0,5.79,0.9,Dey Lodge
517,sao joao da barra,BR,67.21,-21.64,-41.05,Pousada Porto De Canoas
519,narayanavanam,IN,86.0,13.42,79.58,Sri Krishna Residency
520,brae,GB,53.6,60.4,-1.35,Busta House Hotel
522,havre-saint-pierre,CA,55.4,50.23,-63.6,Auberge Niapiskau
523,saint-pierre,RE,73.4,-21.34,55.48,Lindsey Hôtel
524,union,US,73.4,40.63,-74.27,Homewood Suites by Hilton Newark-Cranford
525,xining,CN,74.16,36.62,101.77,Super Leisure Hotel
526,cody,US,66.99,44.53,-109.06,Buffalo Bill (Cabins) Village
527,lingyuan,CN,85.28,41.24,119.4,Guomao Hotel
529,hobyo,SO,82.33,5.35,48.53,Osmani Hotel
530,canavieiras,BR,70.65,-15.68,-38.95,Bahiadomizil
531,tiarei,PF,78.8,-17.53,-149.33,Le Rocher de Tahiti
532,kamaishi,JP,66.2,39.27,141.88,Hotel Route Inn Kamaishi
534,bara,NG,76.33,10.37,10.73,
535,skelleftea,SE,55.0,64.75,20.95,Quality Hotel Skellefteå Stadshotell
536,salinas,US,59.0,36.68,-121.66,Good Nite Inn Salinas Monterey
537,millinocket,US,59.0,45.66,-68.71,Katahdin Inn & Suites
540,otatitlan,MX,75.06,18.2,-96.03,EL RANCHITO OTATITLAN HOTEL
541,tanta,EG,82.15,30.79,31.0,Hesham & Fouad Pharma Group Pharmacies
542,maragogi,BR,71.96,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
543,makubetsu,JP,73.4,45.37,141.82,RED BARON Bike Station Wakkanai
544,valparaiso,CL,55.4,-33.04,-71.63,Hotel Ultramar
545,aleksandrovskiy zavod,RU,82.56,50.92,117.94,Druzhba
550,touros,BR,73.4,-5.2,-35.46,INN NEW HORIZON
551,esmeraldas,BR,60.8,-19.76,-44.31,"MinasTec 24 Hrs - Desentupidora em Esmeraldas, Cancelinha, Fernão Dias, Nova Esmeraldas, Santa Quitéria"
